frame,object,x_pos,rotation
103,person2,517.4997,90
103,person3,191.18729,0
104,person1,1078.7742,270
104,person2,517.5297,90
104,person3,191.1621,0
105,person1,1077.25,270
105,person2,517.4361,90
105,person3,192.01117,0
106,person1,1074.6028,270
106,person2,517.31226,90
106,person3,192.74612,0
107,person1,1073.8207,270
107,person2,517.3095,90
107,person3,192.86345,0
108,person1,1072.3341,270
108,person2,517.07764,90
108,person3,192.78691,0
109,person1,1071.1351,270
109,person2,516.8887,90
109,person3,193.06757,0
110,person1,1069.8201,270
110,person2,516.3517,90
110,person3,192.99896,0
111,person1,1068.4573,270
111,person2,516.0176,90
111,person3,193.16852,0
112,person1,1067.2737,270
112,person2,515.9761,90
112,person3,193.8002,0
113,person1,1066.1094,270
113,person2,516.1549,90
113,person3,194.32089,0
114,person1,1064.7205,270
114,person2,515.8571,90
114,person3,194.38187,0
115,person1,1063.3383,270
115,person2,515.52124,90
115,person3,194.16257,0
116,person1,1061.7528,270
116,person2,515.61,90
116,person3,193.17928,0
117,person1,1060.3634,270
117,person2,515.5956,90
117,person3,195.39722,0
118,person1,1059.6348,0
118,person2,515.93933,90
118,person3,195.75777,0
119,person1,1059.491,0
119,person2,516.2924,90
119,person3,195.9434,0
120,person1,1058.6018,0
120,person2,516.2074,90
120,person3,196.87256,0
121,person1,1058.8396,0
121,person2,515.7412,90
121,person3,197.30934,0
122,person1,1058.0062,0
122,person2,515.6776,90
122,person3,197.30734,0
123,person1,1057.4741,0
123,person2,515.20905,90
123,person3,199.47559,0
124,person1,1057.5494,0
124,person2,515.289,90
124,person3,199.75397,0
125,person1,1057.896,0
125,person2,515.59515,90
125,person3,199.47583,0
126,person1,1057.8209,0
126,person2,515.7046,90
126,person3,203.66098,0
127,person1,1057.8367,0
127,person2,515.5976,90
127,person3,205.79158,0
128,person1,1058.0839,0
128,person2,515.72455,90
128,person3,205.6878,0
129,person1,1058.648,0
129,person2,515.5364,90
129,person3,207.64145,90
130,person1,1061.0386,0
130,person2,515.58105,90
130,person3,209.7786,90
131,person1,1059.9078,0
131,person2,515.428,90
131,person3,211.85164,90
132,person1,1060.5985,0
132,person2,515.48395,90
132,person3,212.45299,90
133,person1,1061.5916,0
133,person2,515.6033,90
133,person3,215.81477,90
134,person1,1061.5969,0
134,person2,515.597,90
134,person3,218.7034,90
135,person1,1063.2344,0
135,person2,515.69104,90
135,person3,221.36082,90
136,person1,1063.6294,0
136,person2,515.9899,90
136,person3,226.14795,90
137,person1,1065.6251,0
137,person2,516.138,90
137,person3,231.90463,90
138,person1,1067.1348,0
138,person2,516.0249,90
138,person3,233.99545,90
139,person1,1069.0112,0
139,person2,516.70013,90
139,person3,239.03906,90
140,person1,1069.9363,0
140,person2,516.72284,90
140,person3,244.31294,90
